CustomerID,Recency,Frequency,MonetaryValue,cluster
12346.0,326,1,77183.6,2
12347.0,3,7,4310.0,1
12348.0,76,4,1797.24,2
12349.0,19,1,1757.55,0
12350.0,311,1,334.4,3
12352.0,37,8,2506.04,2
12353.0,205,1,89.0,3
12354.0,233,1,1079.4,3
12355.0,215,1,459.4,3
12356.0,23,3,2811.43,2
12357.0,34,1,6207.67,2
12358.0,2,2,1168.06,0
12359.0,58,4,6310.03,2
12360.0,53,3,2662.06,2
12361.0,288,1,189.9,3
12362.0,4,10,5226.23,1
12363.0,110,2,552.0,3
12364.0,8,4,1313.1,0
12365.0,292,2,641.38,3
12367.0,5,1,168.9,0
12370.0,52,4,3541.94,2
12371.0,45,2,1887.96,2
12372.0,72,3,1298.04,2
12373.0,312,1,364.6,3
12374.0,26,1,742.9300000000001,0
12375.0,11,2,457.5,0
12377.0,316,2,1628.12,2
12378.0,130,1,4008.62,2
12379.0,82,2,852.24,2
12380.0,22,4,2724.81,2
12381.0,5,5,1845.31,1
12383.0,185,5,1850.56,2
12384.0,29,2,585.27,0
12386.0,338,2,401.9,3
12388.0,16,6,2780.66,1
12390.0,80,1,549.84,3
12391.0,22,1,439.66,0
12393.0,73,4,1582.6000000000001,2
12394.0,64,2,1272.48,2
12395.0,20,12,3018.63,1
12397.0,36,2,2409.9,2
12398.0,46,1,1635.6599999999999,2
12399.0,120,4,1108.65,2
12401.0,304,1,84.3,3
12402.0,324,1,225.6,3
12403.0,50,1,427.7,3
12405.0,149,1,1710.39,2
12406.0,23,2,3415.3,2
12407.0,50,5,1708.1200000000001,2
12408.0,33,5,2888.55,2
12409.0,79,3,11072.67,2
12410.0,309,2,693.3299999999999,3
12412.0,75,3,1226.88,2
12413.0,67,3,758.1,2
12414.0,218,3,562.41,3
12415.0,25,21,124914.53,1
12417.0,4,9,3649.1,1
12418.0,113,1,668.58,3
12420.0,64,1,600.39,3
12421.0,16,4,807.04,0
12422.0,96,3,803.5600000000001,2
12423.0,1,8,1859.31,1
12424.0,163,2,1760.96,2
12425.0,79,1,777.2,3
12426.0,195,1,582.73,3
12427.0,22,3,825.8,0
12428.0,26,9,7956.46,1
12429.0,10,4,3750.4,1
12430.0,44,1,256.4,3
12431.0,36,15,6419.95,1
12432.0,43,5,5059.32,2
12433.0,1,7,13375.87,1
12434.0,85,2,806.14,2
12435.0,80,2,7829.89,2
12436.0,100,1,509.01,3
12437.0,2,18,4951.41,1
12438.0,15,2,2906.85,2
12441.0,367,1,173.55,3
12442.0,4,1,172.06,0
